"Movie ID","Byte Length","Stub v/s Not Stub",,,
318,37861,"Generic",,,
319,29373,"Generic",,,
320,14709,"Generic",,,
321,28311,"Generic",,,
322,52159,"Generic",,,
323,26871,"Generic",,,
324,40404,"Generic",,,
325,15592,"Generic",,,
326,6092,"Generic",,,
327,12290,"Generic",,,
328,9084,"Generic",,,
329,73000,"Generic",,,
330,52552,"Generic",,,
331,10722,"Generic",,,
332,12140,"Generic",,,
333,38426,"Generic",,,
334,46395,"Generic",,,
335,17938,"Generic",,,
336,7973,"Generic",,,
337,108283,"Generic",,,
338,21895,"Generic",,,
339,29784,"Generic",,,
340,53444,"Generic",,,
341,14976,"Generic",,,
342,13453,"Generic",,,
343,10968,"Generic",,,
344,8313,"Generic",,,
345,16447,"Generic",,,
346,88347,"Generic",,,
347,13661,"Generic",,,
348,10688,"Generic",,,
349,7189,"Generic",,,
350,16001,"Generic",,,
351,32606,"Generic",,,
352,10172,"Generic",,,
353,15516,"Generic",,,
354,7563,"Generic",,,
355,10715,"Generic",,,
356,22624,"Generic",,,
357,30906,"Generic",,,
358,13557,"Generic",,,
359,59028,"Generic",,,
360,10585,"Generic",,,
361,14932,"Generic",,,
362,11015,"Generic",,,
363,10691,"Generic",,,
364,16470,"Generic",,,
365,35575,"Generic",,,
366,21096,"Generic",,,
367,14603,"Generic",,,
368,15152,"Generic",,,
369,13521,"Generic",,,
370,15109,"Generic",,,
371,10311,"Generic",,,
372,14958,"Generic",,,
373,32592,"Generic",,,
374,27433,"Generic",,,
375,20169,"Generic",,,
376,6649,"Generic",,,
377,23038,"Generic",,,
378,8786,"Generic",,,
379,17035,"Generic",,,
380,7073,"Generic",,,
381,17495,"Generic",,,
382,24830,"Generic",,,
383,17378,"Generic",,,
384,13421,"Generic",,,
385,27422,"Generic",,,
386,9637,"Generic",,,
387,12833,"Generic",,,
388,25422,"Generic",,,
389,18027,"Generic",,,
390,8002,"Generic",,,
391,32555,"Generic",,,
392,11533,"Generic",,,
393,11239,"Generic",,,
394,10034,"Generic",,,
395,8901,"Generic",,,
396,9837,"Generic",,,
397,15077,"Generic",,,
398,13192,"Generic",,,
399,6764,"Generic",,,
400,19346,"Generic",,,
401,16178,"Generic",,,
402,13477,"Generic",,,
403,13338,"Generic",,,
404,14653,"Generic",,,
405,8968,"Generic",,,
406,12130,"Generic",,,
407,6953,"Generic",,,
408,10531,"Generic",,,
409,15316,"Generic",,,
410,8508,"Generic",,,
411,6234,"Generic",,,
412,11985,"Generic",,,
413,7589,"Generic",,,
414,7097,"Generic",,,
415,7712,"Generic",,,
416,7807,"Generic",,,
417,8479,"Generic",,,
418,15112,"Generic",,,
419,15284,"Generic",,,
420,12864,"Generic",,,
421,7573,"Generic",,,
422,7018,"Generic",,,
423,6914,"Generic",,,
424,17389,"Generic",,,
425,8811,"Generic",,,
426,14364,"Generic",,,
427,13798,"Generic",,,
428,8010,"Generic",,,
429,14509,"Generic",,,
430,7184,"Generic",,,
431,7317,"Generic",,,
432,11223,"Generic",,,
433,12821,"Generic",,,
434,8824,"Generic",,,
435,7429,"Generic",,,
436,8874,"Generic",,,
437,7936,"Generic",,,
438,7643,"Generic",,,
439,9734,"Generic",,,
440,6067,"Generic",,,
441,7041,"Generic",,,
442,10196,"Generic",,,
443,5974,"Generic",,,
444,10419,"Generic",,,
445,8607,"Generic",,,
446,6164,"Generic",,,
447,7061,"Generic",,,
448,7909,"Generic",,,
449,7413,"Generic",,,
450,8931,"Generic",,,
451,10161,"Generic",,,
452,16121,"Generic",,,
453,6937,"Generic",,,
454,11261,"Generic",,,
455,7215,"Generic",,,
456,15459,"Generic",,,
457,8642,"Generic",,,
458,13231,"Generic",,,
459,6927,"Generic",,,
460,8304,"Generic",,,
461,8431,"Generic",,,
462,6977,"Generic",,,
463,7823,"Generic",,,
464,8126,"Generic",,,
465,6771,"Generic",,,
466,8510,"Generic",,,
467,9920,"Generic",,,
468,8719,"Generic",,,
469,7584,"Generic",,,
470,11851,"Generic",,,
471,8763,"Generic",,,
472,7439,"Generic",,,
473,9576,"Generic",,,
474,9476,"Generic",,,
475,12181,"Generic",,,
476,14146,"Generic",,,
477,10123,"Generic",,,
478,8800,"Generic",,,
479,9718,"Generic",,,
480,7909,"Generic",,,
481,7076,"Generic",,,
482,6333,"Generic",,,
483,6941,"Generic",,,
484,7285,"Generic",,,
485,6661,"Generic",,,
486,5183,"Generic",,,
487,7001,"Generic",,,
488,5085,"Generic",,,
489,6915,"Generic",,,
490,12030,"Generic",,,
491,8926,"Generic",,,
492,6486,"Generic",,,
493,9445,"Generic",,,
494,13729,"Generic",,,
495,7832,"Generic",,,
496,9810,"Generic",,,
497,93268,"Generic",,,
498,38907,"Generic",,,
499,50669,"Generic",,,
500,6007,"Generic",,,
501,11546,"Generic",,,
502,6634,"Generic",,,
503,29183,"Generic",,,
504,10455,"Generic",,,
505,9071,"Generic",,,
506,17027,"Generic",,,
507,15516,"Generic",,,
508,14528,"Generic",,,
509,24392,"Generic",,,
510,6930,"Generic",,,
511,26219,"Generic",,,
512,11291,"Generic",,,
513,11278,"Generic",,,
514,6938,"Generic",,,
515,45773,"Generic",,,
516,36537,"Generic",,,
517,53274,"Generic",,,
518,54789,"Generic",,,
519,59289,"Generic",,,
520,20916,"Generic",,,
521,19962,"Generic",,,
522,61813,"Generic",,,
523,45212,"Generic",,,
524,26921,"Generic",,,
525,12331,"Generic",,,
526,11566,"Generic",,,
527,8105,"Generic",,,
528,9871,"Generic",,,
529,4552,"Stub",,,
530,11901,"Generic",,,
531,15268,"Generic",,,
532,8362,"Generic",,,
533,59153,"Generic",,,
534,74332,"Generic",,,
535,19888,"Generic",,,
536,6389,"Generic",,,
537,28961,"Generic",,,
538,23269,"Generic",,,
539,39937,"Generic",,,
540,12125,"Generic",,,
541,14960,"Generic",,,
542,15261,"Generic",,,
543,21429,"Generic",,,
544,10806,"Generic",,,
545,23942,"Generic",,,
546,39331,"Generic",,,
547,11570,"Generic",,,
548,7614,"Generic",,,
549,26951,"Generic",,,
550,23266,"Generic",,,
551,28186,"Generic",,,
552,16063,"Generic",,,
553,10836,"Generic",,,
554,27137,"Generic",,,
555,20760,"Generic",,,
556,15972,"Generic",,,
557,33253,"Generic",,,
558,20659,"Generic",,,
559,29722,"Generic",,,
560,7864,"Generic",,,
561,17490,"Generic",,,
562,7648,"Generic",,,
563,12519,"Generic",,,
564,7397,"Generic",,,
565,8304,"Generic",,,
566,23486,"Generic",,,
567,24473,"Generic",,,
568,17774,"Generic",,,
569,5400,"Generic",,,
570,7635,"Generic",,,
571,20620,"Generic",,,
572,14994,"Generic",,,
573,9014,"Generic",,,
574,13075,"Generic",,,
575,21225,"Generic",,,
576,14709,"Generic",,,
577,8456,"Generic",,,
578,12760,"Generic",,,
579,12316,"Generic",,,
580,11682,"Generic",,,
581,8683,"Generic",,,
582,10767,"Generic",,,
583,16357,"Generic",,,
584,19233,"Generic",,,
585,17680,"Generic",,,
586,25410,"Generic",,,
587,13420,"Generic",,,
588,17332,"Generic",,,
589,6500,"Generic",,,
590,14681,"Generic",,,
591,14585,"Generic",,,
592,6080,"Generic",,,
593,7716,"Generic",,,
594,11194,"Generic",,,
595,9291,"Generic",,,
596,10142,"Generic",,,
597,18295,"Generic",,,
598,10312,"Generic",,,
599,12638,"Generic",,,
600,13927,"Generic",,,
601,13363,"Generic",,,
602,13445,"Generic",,,
603,13744,"Generic",,,
604,10033,"Generic",,,
605,8429,"Generic",,,
606,10138,"Generic",,,
